| Caso | Precondicion | Estado |
| 2413 | Disponer de un usuario particular que tenga contrato de banca a distancia | OK |
| 2413 | Disponer de cuenta de valores | KO |
| 2413 | Disponer de al menos una cuenta con saldo para poder realizar las compras de valores | OK |
| 2418 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Empresa | OK |
| 2418 | que disponga de una única cuenta de valores y una única cuenta vista asociada | OK |
| 2418 | Cumpla con los requisitos para poder operar dentro del mercado de Valores | KO |
| 2419 | Usuario que tenga dado de alta un contrato de banca a distancia de tipo empresa | OK |
| 2419 | El usuario debe disponer de más de una Cuenta de Valores (CCV) | KO |
| 2420 | Disponer de un usuario con contrato de banca a distancia de tipo particular | OK |
| 2420 | Disponga de valores contratados | KO |
| 2422 | Usuario particular con BDIS con solicitudes de documentos pendientes | KO |
| 2423 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particular puro de Urquijo que posea más de una cartera | OK |
| 2426 | Disponer de un usuario Particular minorista que disponga de un contrato de Banca a distancia tipo con un contrato de valores y disponga de cuentas vista | OK |
| 2431 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Particular | OK |
| 2431 | que tenga documentos pendientes de firmar como por ejemplo el Alta de una cuenta | KO |
| 2431 | o el alta de un depósito referenciado y tenga dadas de alta varias cuentas a la vista | OK |
| 2431 | este usuario debe tener un contrato de avisos y alertas dado de alta | OK |
| 2431 | disponer de un usuario con tipo de firma VTPC1 o VTPC2 | OK |
| 2432 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de Tipo Particular | OK |
| 2432 | que contenga un contrato de Avisos y Alertas dado de alta | OK |
| 2432 | Dadas de alta varias cuentas a la vista | OK |
| 2432 | disponer de un usuario asociado a un colectivo | KO |
| 2432 | disponer de un usuario con tipo de firma VTPC1 o VTPC2 | OK |
| 2433 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo Particular | OK |
| 2433 | que tenga Scoring y pueda solicitar nueva tarjeta por el flujo de Instant Selling | KO |
| 2434 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo Particular | OK |
| 2434 | que no tenga scoring | KO |
| 2434 | No sea cliente onbording | KO |
| 2435 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo Particular | OK |
| 2435 | que tenga un scoring igual o superior a 4300 y pueda solicitar nueva tarjeta por el flujo de Instant Selling | KO |
| 2436 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo Particular | OK |
| 2436 | que no tenga Scoring | KO |
| 2436 | y de tipo onboarding | KO |
| 2438 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo Particular | OK |
| 2438 | que tenga Scoring y pueda solicitar nuevas tarjetas por el flujo de Instant Selling | KO |
| 2439 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo particular | OK |
| 2439 | que no tenga Scoring | KO |
| 2439 | y de tipo onboarding | KO |
| 2440 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particular puro de Urquijo que posea Carteras | OK |
| 2441 | Disponer de un usuario con un contrato de banca a distancia particular | OK |
| 2441 | Usuario debe tener tipo de firma vTPC1 o vTPC2 o vTPC03 | OK |
| 2441 | Usuario con una tarjeta MasterCard o Visa bloqueada | OK |
| 2442 | Disponer de un Usuario con un contrato de banca a distancia de tipo Particular | OK |
| 2442 | con el tipo de firma VTPC1 | OK |
| 2443 | Disponer de un usuario con un contrato de banca a distancia de tipo Particular | OK |
| 2443 | que nunca haya entrado en BSO pero tenga una clave de acceso | OK |
| 2443 | Configurada un tipo de firma VTPC1 | OK |
| 2444 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particular | OK |
| 2444 | que a su vez disponga de una tarjeta secundaria | KO |
| 2445 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particular | OK |
| 2445 | que disponga de documentos documentos | KO |
| 2446 | Tener un usuario particular con un documento "destacado" no leído | KO |
| 2446 | y uno "no destacado" leído | KO |
| 2447 | Tener un usuario particular con un documento destacado leído | KO |
| 2447 | y tener acceso a BSO/BSM | OK |
| 2448 | Tener un usuario particular con un documento destacado no leído | KO |
| 2448 | y tener acceso a BSO/BSM | OK |
| 2449 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo Particular dado de alta | OK |
| 2449 | Disponga de diversas cuentas | OK |
| 2449 | este usuario debe haber entrado como mínimo una vez en BSO | OK |
| 2449 | disponer de un usuario con tipo de firma vTPC1 o vTPC2 | OK |
| 2450 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2450 | que disponga de una única tarjeta de crédito con la cual se hayan hecho movimientos iguales a 100 Euros | OK |
| 2451 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2451 | que disponga de una única tarjeta de crédito con la cual se hayan hecho movimientos iguales a 200 Euros | OK |
| 2452 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2452 | que disponga de una única tarjeta de crédito con las cual se hayan hecho movimientos iguales a 200.01 Euros | OK |
| 2453 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2453 | que disponga de una única tarjeta de crédito con la cual se hayan hecho movimientos iguales a 500 Euros | OK |
| 2454 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2454 | que disponga de una única tarjeta de crédito con las cual se hayan hecho movimientos iguales a 500,01 Euros | OK |
| 2455 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2455 | que disponga de una única tarjeta de crédito con las cual se hayan hecho movimientos iguales a 1000 Euros | OK |
| 2456 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2456 | que disponga de una única tarjeta de crédito con las cual se hayan hecho movimientos iguales a 1000,01 Euros | OK |
| 2458 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2458 | que disponga de una única tarjeta de crédito con la cual se hayan hecho movimientos Superiores a 100 Euros | OK |
| 2459 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2459 | que disponga de varias tarjetas de crédito con las cuales se hayan hecho movimientos iguales a 100 Euros | OK |
| 2460 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2460 | que disponga de varias tarjetas de crédito con las cuales se hayan hecho movimientos iguales a 200 Euros | OK |
| 2461 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2461 | que disponga de varias tarjetas de crédito con las cuales se hayan hecho movimientos iguales a 500 Euros | OK |
| 2462 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2462 | que disponga de varias tarjetas de crédito con las cuales se hayan hecho movimientos Superiores a 100 Euros | OK |
| 2463 | Usuario particular con firma vTPC1 o vTPC2 | OK |
| 2463 | Con una cuenta Base Expansión único titular | KO |
| 2464 | Usuario particular con firma vTPC1 o vTPC2 | OK |
| 2464 | Con una cuenta base único titular | OK |
| 2465 | Disponer de un usuario que disponga de un contrato de banca a distancia de tipo Particular | OK |
| 2465 | Haya entrado al menos una vez en el BS Online | KO |
| 2465 | Disponga de un contrato de avisos y alertas | OK |
| 2465 | disponer de un usuario con tipo de firma VTPC1 o VTPC2 | OK |
| 2466 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particular | OK |
| 2466 | Disponga de un DNI caducado informado en la aplicación | OK |
| 2466 | disponer de imágenes superiores a 50 MB para poder realizar la prueba | KO |
| 2467 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particular | OK |
| 2467 | Disponga de un DNI caducado informado en la aplicación | OK |
| 2469 | Disponer de un usuario que disponga de un contrato de banca a distancia tipo Particular | OK |
| 2469 | No tenga el DNI actualizado | OK |
| 2469 | Que sea usuario objetivo para poder actualizar el DNI desde BSM | OK |
| 2470 | Contar con un usuario que disponga de un contrato de banca a distancia tipo Particular | OK |
| 2470 | No tenga el DNI actualizado | OK |
| 2470 | Que sea usuario objetivo para poder actualizar el DNI desde BSO | OK |
| 2471 | Disponer de un usuario que disponga de un contrato de banca a distancia tipo Particular | OK |
| 2471 | No tenga el NIE actualizado | KO |
| 2473 | Contar con un usuario que disponga de un contrato de banca a distancia tipo Particular | OK |
| 2473 | No tenga el DNI actualizado | OK |
| 2473 | Cargar en el entorno de Citrix sendas fotografías de buena calidad del anverso y el reverso del DNI que se vaya a utilizar para la prueba | KO |
| 2474 | Disponer ya de un usuario con dirección de correo electrónico | OK |
| 2474 | y tener acceso a BSO/BSM | OK |
| 2475 | Tener un usuario sin email | OK |
| 2475 | y tener acceso a BSO/BSM | OK |
| 2476 | Disponer ya de un usuario con dirección de correo electrónico | OK |
| 2476 | y tener acceso a BSO/BSM | OK |
| 2477 | Usuario con banca distancia particulares | OK |
| 2477 | y sin ARP válido | KO |
| 2478 | Usuario Menor de edad con banca distancia | OK |
| 2478 | Particulares | OK |
| 2479 | Usuario con banca distancia | OK |
| 2479 | Particulares | OK |
| 2479 | ARP válido | KO |
| 2480 | Usuario con banca distancia particulares | OK |
| 2480 | ARP válido | KO |
| 2480 | sin DNI caducado | OK |
| 2480 | LI contratada (cuenta de depósitos) | KO |
| 2481 | Usuario con banca a distancia particulares | OK |
| 2481 | con clúster 04 en SIBIS | KO |
| 2481 | con ARP válido | KO |
| 2481 | DNI vigente en SIBIS | OK |
| 2482 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Particular | OK |
| 2482 | que disponga de movimientos de recibo con devolver | KO |
| 2483 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Particular | OK |
| 2483 | que disponga de una cuenta de valores | KO |
| 2483 | Permisos de actuar | KO |
| 2483 | disponer de un usuario con tipo de firma vTPC1 o vTPC2 | OK |
| 2483 | Usuario sin TC | KO |
| 2484 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Empresa | OK |
| 2484 | Contrato de banca a distancio de Tipo particular | OK |
| 2484 | que disponga de una cuenta de valores | KO |
| 2484 | Permisos de actuar | KO |
| 2484 | disponer de un usuario con tipo de firma vTPC1 o vTPC2 | OK |
| 2484 | Usuario con TC no conveniente de la empresa | KO |
| 2486 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Particular | OK |
| 2486 | que disponga de una cuenta de valores | KO |
| 2486 | Permisos de actuar | KO |
| 2486 | disponer de un usuario con tipo de firma vTPC1 o vTPC2 | OK |
| 2486 | El usuario debe disponer del TC firmado como no conveniente | KO |
| 2487 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Particular | OK |
| 2487 | que disponga de una cuenta de valores | KO |
| 2487 | Permisos de actuar | KO |
| 2487 | disponer de un usuario con tipo de firma vTPC1 o vTPC2 | OK |
| 2487 | Usuario con TC no conveniente | KO |
| 2488 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Empresa | OK |
| 2488 | Contrato de banca a distancio de Tipo particular | OK |
| 2488 | que disponga de una cuenta de valores | KO |
| 2488 | Permisos de actuar | KO |
| 2488 | disponer de un usuario con tipo de firma vTPC1 o vTPC2 | OK |
| 2488 | Usuario con TC conveniente de la empresa | KO |
| 2490 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Particular | OK |
| 2490 | que disponga de una cuenta de valores | KO |
| 2490 | Permisos de actuar | KO |
| 2490 | disponer de un usuario con tipo de firma vTPC1 o vTPC2 | OK |
| 2490 | El usuario debe disponer del TC firmado como conveniente | KO |
| 2491 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Empresa | OK |
| 2491 | Contrato de banca a distancio de Tipo particular | OK |
| 2491 | que disponga de una cuenta de valores | KO |
| 2491 | Permisos de actuar | KO |
| 2491 | disponer de un usuario con tipo de firma vTPC1 o vTPC2 | OK |
| 2491 | Usuario sin TC de la empresa | KO |
| 2492 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Particular | OK |
| 2492 | que disponga de una cuenta de valores | KO |
| 2492 | Permisos de actuar | KO |
| 2492 | disponer de un usuario con tipo de firma vTPC1 o vTPC2 | OK |
| 2492 | El usuario no debe disponer del TC firmado | KO |
| 2493 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Particular | OK |
| 2493 | que disponga de una cuenta de valores | KO |
| 2493 | Permisos de actuar | KO |
| 2493 | disponer de un usuario con tipo de firma vTPC1 o vTPC2 | OK |
| 2493 | Usuario con TC conveniente | KO |
| 2494 | Disponer del código ISIN de un fondo de una entidad externa | KO |
| 2495 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2495 | con tipo de firma VTPC2 | OK |
| 2495 | Contenga un contrato de fondos que este asesorado | KO |
| 2495 | El usuario debe disponer del TyC firmado | OK |
| 2496 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2496 | con tipo de firma VTPC1 | OK |
| 2496 | Contenga un contrato de fondos que este asesorado | KO |
| 2496 | El usuario debe disponer del TyC firmado | OK |
| 2497 | Disponer de usuario con contrato de banca a distancia dado de alta | OK |
| 2497 | Tener un usuario de tipo particular que tenga cuentas asociadas | OK |
| 2497 | El usuario debe tener contrato de fondos activo | KO |
| 2497 | El usuario debe haber realizado operaciones con los fondos que reflejen movimientos en estos | KO |
| 2497 | No debe mostrarse la opción de selección de cobro de comisiones | KO |
| 2497 | El usuario debe disponer del TyC firmado | OK |
| 2498 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Particular | OK |
| 2498 | que tenga dado de alta un contrato de Fondos de inversión (sin cartera asesorada) | KO |
| 2498 | Dadas de alta varias cuentas a la vista | OK |
| 2498 | disponer de un usuario con tipo de firma VTPC1 | OK |
| 2498 | El usuario debe disponer del TyC firmado | OK |
| 2501 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Particular | OK |
| 2501 | Gestor asignado | KO |
| 2501 | El servicio Rightsizing debe estar disponible | KO |
| 2504 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2504 | Este clasificado con un perfil Mayorista, Minorista, profesional o contraparte | KO |
| 2505 | Acceso a BSO | OK |
| 2505 | Usuario con contrato de banca a distancia de tipo Particular | OK |
| 2506 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo Particular | OK |
| 2507 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particular | OK |
| 2507 | con firma VTPC1 | OK |
| 2507 | que este enrolado en Bizum | KO |
| 2507 | Haya realizado una solicitud de dinero | KO |
| 2508 | Disponer de un usuario que tenga un contrato de Banca a distancia de tipo Particular | OK |
| 2508 | que posea un contrato de Avisos y Alertas | OK |
| 2508 | Varias cuentas a la vista | OK |
| 2508 | este debe tener configurado un tipo de firma vTPC1 o vTPC2 | OK |
| 2508 | tiene que estar enrolado con un dispositivo | KO |
| 2508 | y tener una cuenta asociada a este dispositivo | OK |
| 2508 | El usuario debe tener diversas Acciones Pendientes | KO |
| 2509 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Particular | OK |
| 2509 | y este inscrito en otra entidad en el servicio de Pagos inmediatos | KO |
| 2510 | Disponer de un usuario que tenga un contrato de Banca a distancia de tipo Particular | OK |
| 2510 | que posea de un contrato de Avisos y Alertas | OK |
| 2510 | Varias cuentas a la vista con saldo | OK |
| 2510 | este debe tener configurado un tipo de firma vTPC1 o vTPC2 | OK |
| 2510 | tiene que estar enrolado con un dispositivo | KO |
| 2510 | y tener una cuenta asociado a este dispositivo | OK |
| 2511 | Disponer de un usuario que tenga un contrato de Banca a distancia de tipo Particular | OK |
| 2511 | que posea de un contrato de Avisos y Alertas | OK |
| 2511 | Usuario debe disponer de varias cuentas a la vista con saldo | OK |
| 2511 | Usuario con tipo de firma vTPC1 | OK |
| 2511 | tiene que estar enrolado con un dispositivo | KO |
| 2511 | Usuario debe de haber realizado 2 envíos de 1000 euros durante el día | KO |
| 2512 | Disponer de un usuario que tenga un contrato de Banca a distancia de tipo Particular | OK |
| 2512 | que posea de un contrato de Avisos y Alertas | OK |
| 2512 | Varias cuentas a la vista con saldo | OK |
| 2512 | este debe tener configurado un tipo de firma vTPC1 o vTPC2 | OK |
| 2512 | tiene que estar enrolado con un dispositivo | KO |
| 2512 | y tener una cuenta asociado a este dispositivo | OK |
| 2512 | El usuario debe haber entrado alguna vez a la opción de Bizum | KO |
| 2512 | y debe tener una solicitud de pago en el listado de movimientos para poder devolverlo | KO |
| 2513 | Disponer de un usuario que tenga un contrato de Banca a distancia de tipo Particular | OK |
| 2513 | que posea de un contrato de Avisos y Alertas | OK |
| 2513 | Varias cuentas a la vista con saldo | OK |
| 2513 | este debe tener configurado un tipo de firma vTPC1 | OK |
| 2513 | tiene que estar enrolado con un dispositivo | KO |
| 2513 | y tener una cuenta asociado a este dispositivo | OK |
| 2513 | El usuario debe haber entrado alguna vez a la opción de pagos inmediatos | KO |
| 2513 | y debe tener una solicitud de pago en el listado de movimientos para poder devolverlo | KO |
| 2514 | Disponer de un usuario que tenga un contrato de Banca a distancia de tipo Particular | OK |
| 2514 | que posea de un contrato de Avisos y Alertas | OK |
| 2514 | Varias cuentas a la vista con saldo | OK |
| 2514 | este debe tener configurado un tipo de firma vTPC1 o vTPC2 | OK |
| 2514 | El usuario no debe de tener el servicio de BIzum en nuestra entidad ni en ajenas | KO |
| 2515 | Disponer de un usuario que tenga un contrato de Banca a distancia de tipo Particular | OK |
| 2515 | que posea de un contrato de Avisos y Alertas | OK |
| 2515 | Varias cuentas a la vista con saldo | OK |
| 2515 | este debe tener configurado un tipo de firma vTPC1 o vTPC2 | OK |
| 2515 | tiene que estar enrolado con un dispositivo | KO |
| 2515 | y tener una cuenta asociado a este dispositivo | OK |
| 2515 | El usuario debe haber entrado alguna vez a la opción de Bizum | KO |
| 2516 | Disponer de un usuario que tenga un contrato de Banca a distancia de tipo Particular | OK |
| 2516 | que posea un contrato de Avisos y Alertas | OK |
| 2516 | Varias cuentas a la vista | OK |
| 2516 | este debe tener configurado un tipo de firma vTPC1 | OK |
| 2516 | tiene que estar enrolado con un dispositivo | KO |
| 2517 | Disponer de un usuario que tenga un contrato de Banca a distancia de tipo Particular | OK |
| 2517 | que posea de un contrato de Avisos y Alertas | OK |
| 2517 | Varias cuentas a la vista con saldo | OK |
| 2517 | este debe tener configurado un tipo de firma vTPC1 o vTPC2 | OK |
| 2517 | tiene que estar enrolado con un dispositivo | KO |
| 2517 | y tener una cuenta asociado a este dispositivo | OK |
| 2517 | El usuario debe haber entrado alguna vez a la opción de pagos inmediatos | KO |
| 2518 | Disponer de un usuario particular que tenga contrato de banca a distancia | OK |
| 2518 | Disponga de una línea expansión en curso | OK |
| 2518 | Disponer de saldo suficiente en la línea expansión para poder realizar la operación | KO |
| 2520 | Disponer de un usuario que contenga un contrato de tipo Particular | OK |
| 2520 | con firma VTPC1 | OK |
| 2520 | que se le haya reeimprimido el PIN desde SIBIS para poder simular Login por primera conexión | KO |
| 2522 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia de tipo Particular | OK |
| 2522 | que no se conecte desde hace 90 dias | KO |
| 2522 | SCA activado y VTPC1 | OK |
| 2523 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particular con Firma VTPC2 | OK |
| 2523 | el usuario debe tener configurado mail con un buzón al que podamos acceder | OK |
| 2524 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particular | OK |
| 2524 | con Firma VTPC2 | OK |
| 2525 | Disponer de un usuario Consultivo tipo Particular | OK |
| 2525 | con firma VTPC2 | OK |
| 2525 | y de su clave de acceso | KO |
| 2526 | Disponer de un usuario Consultivo activo de Particulares | OK |
| 2526 | con firma VTPC2 | OK |
| 2527 | Disponer de un usuario con contrato de banca a distancia tipo Particular | OK |
| 2527 | que disponga de un usuario consultivo dado de alta | KO |
| 2528 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particular | OK |
| 2528 | y tarjeta de crédito o débito de Banco Sabadell activa | OK |
| 2529 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particular | OK |
| 2529 | con almenos un IBAN | KO |
| 2529 | y no disponga de tarjetas de crédito o débito de Banco Sabadell | OK |
| 2529 | y la fecha de caducidad del DNI no esté informada en SIBIS | KO |
| 2530 | Disponer de un usuario con contrato de banca a distancia particular | OK |
| 2530 | y al menos una cuenta con | OK |
| 2530 | Con movimientos | OK |
| 2531 | Disponer de un usuario con contrato de banca a distancia particular | OK |
| 2532 | Disponer de un usuario con contrato de banca a distancia particular | OK |
| 2532 | y al menos una tarjeta con saldo | OK |
| 2533 | Disponer de un usuario con contrato de banca a distancia particular | OK |
| 2533 | y al menos una cuenta con la que haya efectuado transferencias anteriormente | OK |
| 2534 | Disponer de un usuario con contrato de banca a distancia particular | OK |
| 2534 | y al menos un préstamo contratado | KO |
| 2535 | Disponer de un usuario con contrato de banca a distancia particular | OK |
| 2535 | y al menos una cuenta con saldo | OK |
| 2536 | Disponer de un usuario con contrato de banca a distancia particular | OK |
| 2536 | y al menos un contrato de fondos de inversión | KO |
| 2537 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 2537 | Debe disponer por lo menos de una cuenta asociada con saldo suficiente | OK |
| 2537 | Debe disponer de planes de pensiones dados de alta | OK |
| 2538 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2538 | con firma vTPC1 | OK |
| 2538 | que tenga un plan de ahorro contratado sin aportación periódica configurada | KO |
| 2539 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2539 | que tenga un plan de ahorro contratado sin aportación periódica configurada | KO |
| 2540 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2540 | Tenga al menos un plan de ahorro contratado | KO |
| 2540 | con aportación periódica activa configurada | KO |
| 2540 | y tipo de firma VTPC1 | OK |
| 2541 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particular | OK |
| 2541 | con tipo de firma VTPC1 | OK |
| 2541 | Este usuario debe tener dado de alta un plan de previsión asegurado | OK |
| 2542 | Usuario autónomo con contrato de banca distancia de particular y autónomo que pueda acceder desde el segmento de particulares | OK |
| 2542 | Planes de pensiones de autónomos contratados | KO |
| 2543 | Usuario autónomo con contrato de banca distancia de particular y autónomo que pueda acceder desde el segmento de particulares | OK |
| 2544 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particualar | OK |
| 2544 | que disponga de préstamo preconcedidos con intervinientes 1 | KO |
| 2544 | y un bureaux = S | KO |
| 2547 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particualar | OK |
| 2547 | que disponga de préstamo preconcedidos con intervinientes 1 | KO |
| 2547 | y un bureaux = S | KO |
| 2547 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particualar | OK |
| 2547 | que disponga de préstamo preconcedidos con intervinientes 1 | KO |
| 2547 | y un bureaux = S | KO |
| 2548 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particualar | OK |
| 2548 | que disponga de préstamo preconcedidos con intervinientes +1 | KO |
| 2548 | y un bureaux = S | KO |
| 2549 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 2549 | Debe disponer por lo menos de una cuenta asociada con saldo suficiente | OK |
| 2549 | El usuario debe disponer de prestamos concedidos | KO |
| 2550 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particualar | OK |
| 2550 | que disponga de préstamo preconcedidos con intervinientes 1 | KO |
| 2550 | y un bureaux = N | KO |
| 2550 | Y No haber realizado una solicitud con el usuario desde hace 48h | KO |
| 2551 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particualar | OK |
| 2551 | que disponga de préstamo preconcedidos con intervinientes +1 | KO |
| 2551 | y un bureaux = N | KO |
| 2551 | Y No haber realizado una solicitud con el usuario desde hace 48 | KO |
| 2552 | Disponer de un usuario que contenga un contrato de banca a distancia tipo Particualar | OK |
| 2552 | que disponga de préstamo preconcedidos con intervinientes 1 | KO |
| 2553 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 2553 | Debe disponer por lo menos de una cuenta asociada con saldo suficiente | OK |
| 2553 | El usuario debe disponer de prestamos hipotecarios incorporados | KO |
| 2554 | Disponer de un usuario que disponga de contrato de banca a distancia tipo Particular | OK |
| 2554 | y Préstamo Sabadell preconcedido | KO |
| 2557 | Usuario con contrato de banca distancia particular | OK |
| 2557 | con préstamo preconcedido Bureaux S | KO |
| 2557 | con un SCL (vinculado a un titular) | KO |
| 2557 | y cuenta con más de un titular (firma indistinta) | OK |
| 2558 | Usuario con contrato de banca distancia particular | OK |
| 2558 | con préstamo preconcedido Bureaux S | KO |
| 2558 | con un SCL (vinculado a un titular) | KO |
| 2558 | y cuenta con más de un titular (firma conjunta) | OK |
| 2559 | Usuario con contrato de banca distancia particular | OK |
| 2559 | con préstamo preconcedido Bureaux S | KO |
| 2559 | con un SCL (unitularidad) | KO |
| 2559 | y varias cuentas con más de un titular (al menos una con firma indistinta y otra con firma conjunta) | OK |
| 2559 | y al menos una cuenta con 1 único titular | OK |
| 2560 | Usuario con contrato de banca distancia autónomo (empresas) y particulares | KO |
| 2560 | préstamo preconcedido Bureaux S | KO |
| 2560 | con 2 titulares | KO |
| 2561 | El usuario debe ser unico titular con Bureaux E | KO |
| 2561 | y completar el proceso de firma obtener la pantalla de resultado OK | KO |
| 2562 | Disponer de un usuario Particular con contrato de Banca a distancia | OK |
| 2562 | El usuario NO debe haber restringido el acceso a Banca a Distancia | OK |
| 2563 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo Particular | OK |
| 2563 | que disponga de tarjetas pendientes de activar | OK |
| 2563 | La tarjeta tiene que tener marcado el TIPO DE ENVIO como Envío por correo a domicilio | KO |
| 2563 | Se tiene que haber impreso la documentación de la tarjeta | KO |
| 2564 | Disponer de un usuario que disponga de un contrato de banca a distancia tipo Particular | OK |
| 2564 | que disponga de una tarjeta tipo Menú Card pendiente de activar | OK |
| 2564 | La tarjeta tiene que tener marcado el TIPO DE ENVIO como Envío por correo a domicilio | KO |
| 2564 | La tarjeta tiene que tener impreso la documentación de la tarjeta | KO |
| 2565 | Disponer de acceso a BSO | OK |
| 2565 | disponer de un identificador único por tarjeta/cliente para poder realizar la consulta | KO |
| 2567 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo Particular con tipo de firma vTPC1 | OK |
| 2567 | que tenga contratadas cuentas a la vista que dispongan de saldo suficiente | OK |
| 2567 | De la cuenta que se utilice sea autorizado | KO |
| 2567 | disponer de un numero de Tarjeta extranjera con su correspondiente fecha de caducidad | KO |
| 2567 | disponer de los servicios de redsys activos para poder ejecutar las pruebas | KO |
| 2568 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo Particular con tipo de firma vTPC1 o vTPC2 | OK |
| 2568 | que tenga contratadas cuentas a la vista que dispongan de saldo suficiente | OK |
| 2568 | disponer de un numero de Tarjeta extranjera con su correspondiente fecha de caducidad | KO |
| 2568 | disponer de los servicios de redsys activos para poder ejecutar las pruebas | KO |
| 2569 | Disponer de un usuario que tenga un contrato de banca a distancia de tipo Particular con tipo de firma vTPC1 o vTPC2 | OK |
| 2569 | que tenga contratadas cuentas a la vista que no dispongan de saldo suficiente | OK |
| 2569 | disponer de un numero de Tarjeta extranjera con su correspondiente fecha de caducidad | KO |
| 2569 | disponer de los servicios de redsys activos para poder ejecutar las pruebas | KO |
| 2570 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo particular | OK |
| 2570 | Disponga de una o varias tarjetas de débito | OK |
| 2570 | El usuario debe tener un limite de compras superior a 10k | KO |
| 2571 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo particular | OK |
| 2571 | Disponga de una o varias tarjetas de débito | OK |
| 2571 | Un límite diario de cajero superior a 1000 | KO |
| 2572 | Disponer de un usuario que contenga un contrato de banca a distancia de tipo particular | OK |
